code,is_vulnerable,urgency_score,source_dataset,cwe,vulnerability_type,source
"def read_file(filename):
    with open(f""uploads/{filename}"", 'r') as f:
        return f.read()",1,84.99020902239957,cve_like_training.csv,CWE-22,path_traversal,cve_like
"def load_session(session_data):
    import pickle
    return pickle.loads(session_data)",1,80.0,real_cve_dataset.csv,CWE-502,insecure_deserialization,pattern_analysis
"def encrypt_data(data):
    key = ""my_secret_key_12345""
    cipher = AES.new(key.encode(), AES.MODE_EAX)
    return cipher.encrypt(data)",1,80.0,real_cve_dataset.csv,CWE-20,generic_vulnerability,fallback
"def deserialize_user(data):
    import pickle
    user = pickle.loads(data)
    return user",1,80.0,real_cve_dataset.csv,CWE-502,insecure_deserialization,pattern_analysis
"def show_error(error_msg):
    return ""<div class='error'>"" + error_msg + ""</div>""",1,86.32132874382702,cve_like_training.csv,CWE-79,xss,cve_like
"def deserialize_user(data):
    import pickle
    user = pickle.loads(data)
    return user",1,81.83937614193808,cve_like_training.csv,CWE-502,deserialization,cve_like
"# API endpoint
file = open(request.GET['file'])",1,100.0,training_dataset.csv,CWE-20,generic_vulnerability,fallback
"def ping_host(hostname):
    result = subprocess.run(f""ping -c 4 {hostname}"", shell=True)
    return result.stdout",1,80.0,real_cve_dataset.csv,CWE-78,command_injection,pattern_analysis
"def include_file(file_path):
    return open(file_path, 'r').read()",1,80.76138670774453,cve_like_training.csv,CWE-22,path_traversal,cve_like
"def parse_xml(xml_data):
    from defusedxml import ElementTree
    doc = ElementTree.parse(xml_data)
    return doc",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"# API endpoint
db.query('INSERT INTO logs VALUES(' + data + ')')",1,59.59993429886977,training_dataset.csv,CWE-20,generic_vulnerability,fallback
"def backup_file(filename):
    os.system(f""tar -czf backup.tar.gz {filename}"")",1,80.0,real_cve_dataset.csv,CWE-78,command_injection,pattern_analysis
"def restore_object(data):
    import json
    obj = json.loads(base64.b64decode(data))
    return obj",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"def execute_formula(formula):
    import ast
    allowed_ops = {ast.Add, ast.Sub, ast.Mult, ast.Div}
    tree = ast.parse(formula, mode='eval')
    for node in ast.walk(tree):
        if isinstance(node, ast.operator) and type(node) not in allowed_ops:
            raise ValueError(""Invalid operation"")
    result = ast.literal_eval(formula)
    return result",0,12.808986031283778,cve_like_training.csv,None,safe,safe_code
"def load_session(session_data):
    import pickle
    return pickle.loads(session_data)",1,82.77087299045392,cve_like_training.csv,CWE-502,deserialization,cve_like
"def ping_host(hostname):
    import ipaddress
    ipaddress.ip_address(hostname)  # Validate
    result = subprocess.run([""ping"", ""-c"", ""4"", hostname], capture_output=True)
    return result.stdout",0,21.93083529098675,cve_like_training.csv,None,safe,safe_code
"def multiply(x, y): return x * y",0,16.44172789734997,training_dataset.csv,None,safe,safe_code
"def process_xml(xml_file):
    from xml.dom import minidom
    doc = minidom.parse(xml_file)
    return doc",1,70.60377270732633,cve_like_training.csv,CWE-611,xxe,cve_like
import json,0,8.071258784810613,training_dataset.csv,None,safe,safe_code
